eth_price,issuer,net_flow,net_flow_usd,net_tvl,net_tvl_usd,time,tvl,tvl_usd
0,Bitwise,,,30775.98074094619,106951149.47189915,2025-07-18 00:00:00,1290.1069460900003,4483315.153704665
0,Bitwise,,,30775.98074094619,109111315.56010617,2025-07-19 00:00:00,0.0,0.0
0,Bitwise,,,30775.98074094619,110533781.38995269,2025-07-20 00:00:00,0.0,0.0
0,Bitwise,,,34431.22743796619,129303720.14508699,2025-07-21 00:00:00,3655.24669702,13726986.550922848
0,Bitwise,,,37943.12013286619,142706351.40691772,2025-07-22 00:00:00,3511.8926949000006,13208439.139080595
0,Bitwise,,,37943.12013286619,142110264.9896304,2025-07-23 00:00:00,0.0,0.0
0,Fidelity,,,0.0,0.0,2025-04-26 00:00:00,0.0,0.0
0,Fidelity,,,0.0,0.0,2025-04-27 00:00:00,0.0,0.0
0,Fidelity,,,19983.8913164,35836712.61987379,2025-04-28 00:00:00,19983.8913164,35836712.61987379
0,Fidelity,,,19983.8913164,35966208.23560406,2025-04-29 00:00:00,0.0,0.0
0,Fidelity,,,33972.3446346,61168225.68493634,2025-04-30 00:00:00,13988.453318200001,25186629.85301865
0,Fidelity,,,37219.63190693,66835665.21159327,2025-05-01 00:00:00,3247.28727233,5831186.227795705
0,Fidelity,,,40716.67703619,74903620.57608621,2025-05-02 00:00:00,3497.04512926,6433269.131140574
0,Fidelity,,,40716.67703619,75079516.62088256,2025-05-03 00:00:00,0.0,0.0
0,Fidelity,,,40716.67703619,74780249.04466654,2025-05-04 00:00:00,0.0,0.0
0,Fidelity,,,40716.67703619,73795312.62716112,2025-05-05 00:00:00,0.0,0.0
0,Fidelity,,,30725.427036189998,55976197.48307166,2025-05-06 00:00:00,-9991.25,-18202259.075
0,Fidelity,,,30725.427036189998,55850223.23222329,2025-05-07 00:00:00,0.0,0.0
0,Fidelity,,,21483.677036189998,38933793.708835326,2025-05-08 00:00:00,-9241.75,-16748361.4375
0,Fidelity,,,21483.677036189998,47373441.39573221,2025-05-09 00:00:00,0.0,0.0
