name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
PancakeSwap AMM,"['BSC', 'Ethereum', 'Polygon zkEVM', 'ZKsync Era', 'Arbitrum', 'Linea', 'Base', 'opBNB', 'Aptos']",Dexs,2463058990,23337935251.0,111452468798.0,-28.67,-52.16,-14.37
Uniswap V3,"['Arbitrum', 'Base', 'Avalanche', 'World Chain', 'Ethereum', 'OP Mainnet', 'Polygon', 'ZKsync Era', 'Sei', 'Unichain', 'Taiko', 'Scroll', 'Rootstock', 'Filecoin', 'Boba', 'Moonbeam', 'Manta', 'Mantle', 'Linea', 'Polygon zkEVM', 'Blast', 'Gnosis', 'BOB', 'Lisk', 'Corn', 'Goat', 'BSC', 'Hemi', 'XDC', 'LightLink', 'Lens', 'Telos', 'Celo']",Dexs,2300756792,15858775525.0,50929599376.0,0.0,-20.59,51.99
PancakeSwap AMM V3,"['BSC', 'Ethereum', 'Polygon zkEVM', 'ZKsync Era', 'Arbitrum', 'Linea', 'Base', 'opBNB', 'Solana']",Dexs,2268730885,16405742135.0,74723134983.0,-6.87,-17.89,-14.32
Uniswap V4,"['Ethereum', 'Unichain', 'OP Mainnet', 'Base', 'Arbitrum', 'Polygon', 'Blast', 'Zora', 'World Chain', 'Ink', 'Soneium', 'Avalanche', 'BSC']",Dexs,1474253586,7577148425.0,26695920914.0,15.41,3.62,76.94
Raydium AMM,['Solana'],Dexs,1057306380,7824102732.0,25587570541.0,-13.68,-21.59,54.69
Orca,"['Solana', 'Eclipse']",Dexs,849964343,6601639972.0,18122368596.0,-16.76,-20.82,117.76
Aerodrome Slipstream,['Base'],Dexs,825267850,4822744537.0,15872253842.0,0.0,6.8,99.75
Meteora DLMM,['Solana'],Dexs,610048899,3831221236.0,17395128134.0,2.34,-25.54,127.0
Fluid DEX,"['Ethereum', 'Arbitrum', 'Polygon', 'Base']",Dexs,604272233,3568783720.0,13822797289.0,33.65,-26.64,136.48
Uniswap V2,"['Ethereum', 'Arbitrum', 'Polygon', 'Base', 'BSC', 'Unichain']",Dexs,502013559,3237575032.0,11520565167.0,0.0,13.74,82.13
Hyperliquid Spot Orderbook,['Hyperliquid L1'],Dexs,400136463,2767175223.0,9995159724.0,0.0,-22.55,31.92
Ekubo,"['Starknet', 'Ethereum']",Dexs,349512489,2318345253.0,5649099758.0,0.0,166.3,637.46
Cetus AMM,"['Aptos', 'Sui']",Dexs,267349680,1661373849.0,5281646348.0,0.0,-10.33,148.56
SUNSwap V3,['Tron'],Dexs,247615628,1321946565.0,2904617264.0,0.0,-12.81,286.58
PumpSwap,['Solana'],Dexs,232858076,1468587658.0,7215973769.0,0.0,58.48,-3.56
Curve DEX,"['Ethereum', 'Polygon', 'Fantom', 'Arbitrum', 'Avalanche', 'OP Mainnet', 'Gnosis', 'Base', 'Fraxtal', 'Sonic', 'Hyperliquid L1']",Dexs,230237061,1972124073.0,6739471747.0,-31.62,-42.74,70.3
Pendle,"['Ethereum', 'Arbitrum', 'Mantle', 'BSC', 'OP Mainnet']",Yield,204579282,1335031440.0,2786980358.0,-13.06,30.49,362.5
Blackhole CLMM,['Avalanche'],Dexs,154697268,781181338.0,898682881.0,18.88,169.0,
LaunchLab,['Solana'],Launchpad,153124184,1127675368.0,3122147586.0,0.0,-14.23,999.26
Bluefin Spot,['Sui'],Dexs,148765196,803127472.0,2517689040.0,32.73,21.43,128.93
Hyperion,['Aptos'],Dexs,114473563,896415469.0,4103219944.0,0.0,-27.77,-17.8
Lifinity V1,['Solana'],Dexs,94218059,672867739.0,2198755450.0,0.0,-13.01,60.32
Camelot V3,"['Arbitrum', 'ApeChain', 'Gravity by Galxe', 'Rari', 'Reya Network', 'Gnosis', 'Sanko']",Dexs,93455322,525084092.0,1530112313.0,19.16,8.5,152.64
Momentum,['Sui'],Dexs,89160332,593727084.0,2069069478.0,0.0,-13.22,102.26
Rhea Dex,['Near'],Dexs,75125506,577355247.0,2742093088.0,590.22,-49.81,263.8
Joe V2.2,"['Avalanche', 'Arbitrum']",Dexs,69709357,600597326.0,1746866842.0,0.0,-33.75,81.09
Thorchain DEX,['Thorchain'],Dexs,67420700,616613127.0,1946289734.0,0.0,-18.31,-27.14
Velodrome V3,"['OP Mainnet', 'Mode', 'Lisk', 'Fraxtal', 'Ink', 'Soneium', 'Unichain', 'Swellchain']",Dexs,63931104,426955035.0,1380789806.0,0.0,-18.38,59.59
Dexalot DEX,"['Dexalot', 'Avalanche', 'Arbitrum', 'Base']",Dexs,55329804,443542361.0,1104781487.0,0.0,-40.61,189.06
DeepBook V3,['Sui'],Dexs,51775843,298744956.0,857490794.0,9.49,-12.55,169.68
Pharaoh CL,['Avalanche'],Dexs,48903948,496838690.0,1579571774.0,-16.21,-49.05,40.03
Maverick V2,"['Ethereum', 'Arbitrum', 'ZKsync Era', 'BSC', 'Base', 'Scroll']",Dexs,44823142,320441520.0,1355240663.0,0.0,-45.37,-3.31
DODO AMM,"['Arbitrum', 'BSC', 'Ethereum', 'Polygon', 'Avalanche', 'OP Mainnet', 'Base', 'Linea', 'Scroll']",Dexs,43791095,186505048.0,885057856.0,0.0,46.45,8.76
ThalaSwap V2,['Aptos'],Dexs,42237918,270917004.0,1525068444.0,0.0,-7.28,2.18
Shadow Exchange CLMM,['Sonic'],Dexs,39306517,258587535.0,872110412.0,0.0,-15.49,-14.1
EulerSwap,"['Ethereum', 'Unichain']",Dexs,37724842,131530772.0,1344148425.0,0.0,237.35,-51.52
WOOFi Swap,"['Avalanche', 'BSC', 'Fantom', 'Polygon', 'Arbitrum', 'OP Mainnet', 'ZKsync Era', 'Polygon zkEVM', 'Linea', 'Base', 'Mantle', 'Sonic', 'Berachain', 'Solana']",Dexs,36408850,303498265.0,996688368.0,0.0,-24.32,49.35
SquadSwap WOW,['BSC'],Dexs,36000716,132195740.0,521940113.0,13.03,-27.23,88.73
Turbos,['Sui'],Dexs,35876723,197755340.0,626216536.0,19.87,-12.7,128.38
Aerodrome V1,['Base'],Dexs,35111695,188276578.0,635477430.0,0.0,52.9,46.43
STEAMM,['Sui'],Dexs,34970084,162558153.0,431128881.0,-13.29,61.32,547.47
Tokenlon AMM,['Ethereum'],Dexs,31841107,162129599.0,674491992.0,0.0,-32.98,141.83
Quickswap Dex,['Polygon'],Dexs,31351347,225808802.0,957759764.0,0.0,-9.3,-8.65
stabble,['Solana'],Dexs,30937176,321515775.0,1101460111.0,-32.76,-42.64,-44.29
Project X,['Hyperliquid L1'],Dexs,30789342,228854150.0,383364081.0,-8.69,-7.43,
SushiSwap V3,"['Arbitrum Nova', 'Arbitrum', 'Ethereum', 'Gnosis', 'Base', 'CORE', 'Blast', 'Rootstock', 'Bittorrent', 'Metis', 'Kava', 'Linea', 'Scroll', 'Sonic', 'Hemi', 'Katana', 'BSC', 'OP Mainnet', 'Polygon', 'Polygon zkEVM', 'ThunderCore', 'Fantom', 'Avalanche']",Dexs,28284789,124859620.0,405260092.0,44.56,0.26,232.48
1DEX,['Vaulta'],Dexs,27839627,179398157.0,555934445.0,8.18,-12.05,96.99
Bunni V2,"['Ethereum', 'Arbitrum', 'Base', 'Unichain', 'BSC']",Liquidity manager,27151028,219267646.0,884297055.0,0.0,22.5,442.47
0x,"['Ethereum', 'Polygon', 'BSC', 'OP Mainnet', 'Fantom', 'Celo', 'Avalanche', 'Arbitrum', 'Base']",DEX Aggregator,27092641,327533789.0,809046907.0,-50.44,-63.82,1793.58
Polymarket,['Polygon'],Prediction Market,25318145,199987982.0,1041920647.0,0.0,-24.03,-45.33
pump.fun,['Solana'],Launchpad,24468198,242948616.0,1753805341.0,0.0,-33.28,-77.76
Quickswap V3,"['Polygon', 'Polygon zkEVM', 'Manta', 'Immutable zkEVM', 'Soneium']",Dexs,23087721,157005090.0,604044245.0,0.0,-20.53,16.95
Balancer V2,"['Ethereum', 'Polygon', 'Arbitrum', 'Gnosis', 'Polygon zkEVM', 'Avalanche', 'Base', 'Mode', 'Fraxtal']",Dexs,22065976,365242732.0,896876830.0,-59.41,-75.3,45.29
Meteora DAMM V2,['Solana'],Dexs,21842203,259179547.0,1185906990.0,-74.13,-17.87,-39.6
Meteora Dynamic Bonding Curve,['Solana'],Launchpad,17177571,73558537.0,527949948.0,0.0,76.52,31.46
HyperSwap V3,['Hyperliquid L1'],Dexs,16729091,132613197.0,462086553.0,-5.53,0.08,32.15
Kodiak V3,['Berachain'],Dexs,16315525,106700160.0,383730451.0,-12.27,-15.79,46.21
PancakeSwap Infinity,"['BSC', 'Base']",Dexs,16163925,122709211.0,401179645.0,-11.98,-30.34,63.84
GMX V2 AMM,"['Arbitrum', 'Avalanche', 'Botanix', 'Solana']",Dexs,15852357,113733926.0,253823326.0,0.0,50.14,165.86
SaucerSwap V2,['Hedera'],Dexs,15776524,104973313.0,287095426.0,0.0,-17.2,171.73
Meteora DAMM V1,['Solana'],Dexs,14739272,119086519.0,460337903.0,-27.75,-30.8,-7.53
Merchant Moe Liquidity Book,['Mantle'],Dexs,14577228,95843333.0,335729626.0,0.0,-65.32,25.01
Metastable,['Sui'],CDP,14331174,48719584.0,101094878.0,362.3,55.72,1492.15
Balancer V3,"['Ethereum', 'Gnosis']",Dexs,14181450,166858424.0,685284870.0,-72.84,-63.06,5.73
Hashflow,"['Ethereum', 'Avalanche', 'BSC', 'Arbitrum', 'OP Mainnet', 'Polygon', 'Solana']",DEX Aggregator,13845400,107095976.0,301853033.0,0.0,-40.95,101.78
THENA INTEGRAL,['BSC'],Dexs,12896944,99536384.0,268518056.0,0.49,-30.21,78.91
FlowX V3,['Sui'],Dexs,12728991,65301102.0,198585414.0,24.98,25.9,116.19
Ramses CL,['Arbitrum'],Dexs,12506013,66711289.0,354626633.0,8.74,11.66,106.56
Integral,"['Arbitrum', 'Ethereum']",Dexs,12309722,94538964.0,304918843.0,10.61,-32.89,83.59
Phoenix,['Solana'],Dexs,11983983,95273883.0,256224122.0,0.0,6.14,99.15
Oxium,['Sei'],Dexs,11910291,68614879.0,312199827.0,32.66,6.85,689.37
THENA FUSION,['BSC'],Dexs,11347653,76826408.0,364036996.0,18.53,-38.64,-22.81
Dragon Swap V3 Sei,['Sei'],Dexs,10885332,68490857.0,371613644.0,0.0,-21.58,-55.84
Sailor,['Sei'],Dexs,10619420,75483125.0,322997004.0,-55.41,-13.53,-65.12
Mento,['Celo'],Algo-Stables,10184287,101589833.0,240728976.0,-21.78,-60.67,2068.18
NEAR Intents,['Near'],AI Agents,9196023,73624091.0,230047073.0,0.0,62.06,-22.7
SushiSwap,"['Ethereum', 'Polygon', 'Arbitrum', 'CORE', 'Blast', 'Katana', 'Fantom', 'Avalanche', 'Fuse', 'Harmony']",Dexs,9025039,54033651.0,169644537.0,6.16,-38.53,239.66
Native Swap,"['BSC', 'Ethereum', 'Arbitrum', 'Base']",Dexs,8655070,54473913.0,115736056.0,-0.12,43.39,902.31
XPress Protocol,['Sonic'],Dexs,8470585,47040893.0,132806104.0,0.0,9.84,21.92
Reservoir Tools CLMM,"['Abstract', 'Zero Network', 'Shape']",Dexs,8180571,61213187.0,189037033.0,0.84,10.19,180.49
TanX.fi,['Ethereum'],Dexs,7731755,49498998.0,182799499.0,0.0,-2.06,29.7
Blackhole AMM,['Avalanche'],Dexs,6856163,65683259.0,104255533.0,-39.88,-47.26,
Chainflip,['Chainflip'],Dexs,6559503,66807809.0,275146048.0,-13.6,-40.27,-14.13
PulseX V2,['PulseChain'],Dexs,6217200,62730500.0,284174676.0,-25.74,-48.56,44.76
SwapX Algebra,['Sonic'],Dexs,6170964,39419650.0,154104968.0,0.0,-29.12,6.17
Agni Finance,['Mantle'],Dexs,6106357,38513582.0,136928958.0,-1.06,-53.12,80.68
SUNSwap V2,['Tron'],Dexs,5180815,34512930.0,149447529.0,0.0,-44.17,-59.6
PulseX V1,['PulseChain'],Dexs,5147678,49921641.0,261692872.0,-28.81,-57.76,4.85
Joe V2.1,"['Avalanche', 'Arbitrum', 'BSC']",Dexs,5115324,52720541.0,162810216.0,-35.34,-40.54,20.34
Meridian AMM,['Movement'],Dexs,5071439,41992756.0,57186103.0,-8.61,-17.65,687.25
Clipper,"['Ethereum', 'OP Mainnet', 'Arbitrum', 'Polygon', 'Moonbeam', 'Base', 'Mantle', 'Polygon zkEVM']",Dexs,4977192,33404620.0,100569787.0,1.63,-33.85,153.93
Katana DEX V3,['Ronin'],Dexs,4872280,27696575.0,82191662.0,0.0,-18.66,421.12
BEX,['Berachain'],Dexs,4706868,16471956.0,68571112.0,55.95,75.23,181.26
Gliquid,['Hyperliquid L1'],Dexs,4589889,39640174.0,110981793.0,0.0,4.73,530.94
Saros DLMM,['Solana'],Dexs,4548427,26594989.0,33526898.0,-44.11,36.84,38682.63
Pharaoh Legacy,['Avalanche'],Dexs,4521333,60597093.0,263811032.0,-14.71,-64.22,-45.21
LumenSwap,['Stellar'],Dexs,4485560,30878150.0,99274370.0,0.0,0.3,392.24
SparkDEX V3.1,['Flare'],Dexs,4375900,37573130.0,113194689.0,-52.29,-5.08,15.52
Alien Base V2,['Base'],Dexs,4322613,23165874.0,77571971.0,30.68,1.24,113.19
Lynex V2,['Linea'],Dexs,4313284,29517707.0,88310661.0,-6.44,-24.12,63.54
Reservoir Tools AMM,"['Ink', 'Zero Network', 'Shape', 'Abstract']",Dexs,4291702,25479260.0,71267835.0,-10.89,25.95,177.33
Beets DEX,"['Fantom', 'OP Mainnet', 'Sonic']",Dexs,3933380,29802348.0,77650353.0,0.0,31.49,71.49
VVS Standard,['Cronos'],Dexs,3882075,25503847.0,99316712.0,-16.37,-48.2,225.74
Minswap,['Cardano'],Dexs,3822929,27407976.0,94465955.0,0.0,-23.86,82.27
Invariant,"['Solana', 'Eclipse']",Dexs,3638881,29231814.0,83070834.0,-16.43,-40.84,261.3
Frax Swap,"['Arbitrum', 'Aurora', 'Avalanche', 'Boba', 'BSC', 'Ethereum', 'Fantom', 'Harmony', 'Moonbeam', 'Moonriver', 'Polygon', 'Fraxtal']",Dexs,3546781,26267023.0,58855675.0,0.0,-24.45,177.93
YeiSwap,['Sei'],Dexs,3358250,21492753.0,229649202.0,48.43,232.72,
DragonSwap V3 Kaia,['Kaia'],Dexs,3215025,18738734.0,59981934.0,8.83,-23.0,5.56
Pangolin V3,['Avalanche'],Dexs,3075151,12382427.0,13504839.0,0.0,5218.67,6527.48
Bitflow,['Stacks'],Dexs,3054732,21558422.0,68935769.0,-4.05,-5.82,21.56
Balancer V1,['Ethereum'],Dexs,2953181,4871355.0,21992613.0,889.41,585.43,3148.11
Tapp Exchange,['Aptos'],Dexs,2929696,19624201.0,82032901.0,0.0,-2.28,73.03
Aquarius Stellar,['Stellar'],Dexs,2850727,19347464.0,60141131.0,0.0,6.02,318.0
TONCO,['TON'],Dexs,2820759,25736760.0,88110667.0,-40.57,-49.75,486.08
Magma,['Sui'],Dexs,2500317,20848140.0,106490300.0,0.0,-40.35,-22.94
Bulla Exchange,['Berachain'],Dexs,2458539,17253578.0,54563635.0,-19.22,6.89,
Thruster V3,['Blast'],Dexs,2436108,16678898.0,46642779.0,-2.21,-19.16,438.07
2THICK,['Sonic'],Dexs,2406848,16465735.0,48603276.0,-7.14,-29.99,37.13
Drift AMM,['Solana'],Dexs,2274734,14260691.0,33020211.0,0.0,66.18,95.37
Beets DEX V3,['Sonic'],Dexs,2214870,10923786.0,38678366.0,-12.93,58.59,21.6
Haedal AMM Protocol,['Sui'],Dexs,2190295,9485486.0,49120355.0,57.32,113.86,-2.42
SUNSwap V1,['Tron'],Dexs,2104291,13855948.0,98217061.0,0.0,-39.04,-50.37
Joe DEX,"['BSC', 'Avalanche', 'Arbitrum']",Dexs,2046968,14347102.0,140344706.0,0.0,-21.74,-82.76
PancakeSwap StableSwap,"['Ethereum', 'BSC', 'Arbitrum']",Dexs,2008180,16883995.0,348772818.0,11.4,-72.21,-79.69
STON.fi,['TON'],Dexs,2002184,27181738.0,100046676.0,-40.88,-58.2,-24.32
BaseX,['Base'],Dexs,1933164,18312250.0,63939059.0,-30.02,-61.51,-3.0
Kittenswap CL,['Hyperliquid L1'],Dexs,1904809,15669805.0,274389282.0,0.0,-52.16,-85.19
Unchain X,['BSC'],Dexs,1862928,14423458.0,52178309.0,46.86,-62.02,142.98
Ambient,"['Ethereum', 'Scroll', 'Blast', 'Plume Mainnet', 'Plume (Deprecated)', 'Swellchain']",Dexs,1856560,11540798.0,33540715.0,6.04,-27.25,95.04
Nile CL,['Linea'],Dexs,1847442,23915906.0,91270113.0,-43.76,-60.75,-14.38
Solidly V3,"['Ethereum', 'Sonic', 'OP Mainnet', 'Arbitrum', 'Fantom', 'Base']",Dexs,1812394,18310248.0,93920860.0,7.07,-55.16,-73.68
Astroport,"['Terra2', 'Injective', 'Neutron', 'Sei', 'Osmosis']",Dexs,1757840,14374415.0,50966796.0,-7.95,-49.02,96.47
Ocelex V2,['Zircuit'],Dexs,1730687,6768433.0,12238359.0,-43.24,627.55,1117.24
InitiaDEX,['Initia'],Dexs,1691192,15296711.0,49969350.0,-41.47,-4.0,59.06
Byreal,['Solana'],Dexs,1665355,9423551.0,41088450.0,-5.62,353.94,
Metropolis DLMM,['Sonic'],Dexs,1654260,11490016.0,46718473.0,0.0,-33.07,5.17
MooniSwap,['Ethereum'],Dexs,1652111,6444593.0,17319083.0,43.56,237.57,1766.67
Kriya CLMM,['Sui'],Dexs,1647750,14863651.0,46097767.0,-13.14,-30.12,-45.49
Garden,"['Ethereum', 'Bitcoin', 'Arbitrum', 'Base', 'Unichain', 'Berachain', 'Starknet', 'Hyperliquid L1']",Cross Chain Bridge,1626171,15669382.0,97842239.0,-30.66,-31.3,-67.67
WAGMI,"['Fantom', 'Ethereum', 'Metis', 'Kava', 'Sonic', 'Base']",Dexs,1626145,29376717.0,105754947.0,-65.14,-77.98,-61.61
Kyo Finance,['Soneium'],Dexs,1580289,11408513.0,41844521.0,0.0,-18.92,50.98
Katana DEX,['Ronin'],Dexs,1562830,24016451.0,51183005.0,-64.1,-0.32,128.79
Shadow Exchange Legacy,['Sonic'],Dexs,1487393,10077483.0,30761829.0,0.0,21.15,53.53
SyncSwap,"['ZKsync Era', 'Linea', 'Scroll']",Dexs,1453844,10979445.0,34572401.0,-2.03,-39.73,50.32
Swaps.io,"['Ethereum', 'OP Mainnet', 'BSC', 'Gnosis', 'Polygon', 'Sonic', 'Arbitrum', 'Base', 'Avalanche', 'Blast']",Bridge,1384547,8627359.0,32557369.0,-36.27,683.72,-34.3
Molten,['CORE'],Dexs,1376736,12113316.0,77992694.0,-23.76,-12.59,295.74
four.meme,['BSC'],Launchpad,1373631,12080620.0,55638446.0,-26.25,5.81,-17.96
XSwap V3,['XDC'],Dexs,1370430,8731211.0,28987467.0,,-2.04,147.11
Saber,['Solana'],Dexs,1353248,9537016.0,38450989.0,-0.27,1.15,13.11
Amped Finance,"['LightLink', 'Sonic', 'Berachain', 'Base', 'Superseed']",Derivatives,1298380,8714560.0,21427344.0,0.0,-35.87,-30.5
Rooster Protocol,"['Plume Mainnet', 'Plume (Deprecated)']",Dexs,1278634,11095521.0,42810407.0,-28.82,-14.47,72.7
Arena DEX,['Avalanche'],Dexs,1272361,12021621.0,88927694.0,-30.07,-8.44,-74.5
Maverick V1,"['BSC', 'Base', 'ZKsync Era', 'Ethereum']",Dexs,1224765,6284990.0,41882549.0,33.79,-7.14,55.46
Tinyman,['Algorand'],Dexs,1217398,7216687.0,32189331.0,-7.97,-33.75,93.02
Sanctum Infinity,['Solana'],Dexs,1211347,61106976.0,178329316.0,0.0,-21.88,-86.47
Jellyverse,['Sei'],Dexs,1178400,6868618.0,39357826.0,0.0,-25.25,-74.23
Helix Spot,['Injective'],Dexs,1168088,7021780.0,22488207.0,-6.06,-9.53,191.8
Ape.Store,"['Base', 'Ethereum']",Launchpad,1152125,11870169.0,60096875.0,-19.93,-56.42,190.52
Fulcrom AMM,"['Cronos', 'ZKsync Era', 'Cronos zkEVM']",Dexs,1142502,5294575.0,16736464.0,0.0,8.54,224.68
SilverSwap,['Sonic'],Dexs,1108823,8787650.0,31537731.0,0.0,-20.74,-66.84
Swaap Maker V2,"['Ethereum', 'Polygon', 'Arbitrum', 'OP Mainnet', 'BSC', 'Base', 'Mode', 'Scroll', 'Linea', 'Mantle']",Dexs,1070247,9736561.0,24200704.0,0.0,128.16,216.42
Velodrome V2,"['OP Mainnet', 'Mode', 'Lisk', 'Fraxtal', 'Ink', 'BOB', 'Soneium', 'Unichain', 'Swellchain']",Dexs,1066493,10106310.0,37892129.0,-57.99,-62.2,41.49
Glyph V4,['CORE'],Dexs,1051643,14827217.0,34093367.0,-55.59,-63.23,110.83
xExchange,['MultiversX'],Dexs,1003740,7839742.0,23232680.0,-44.0,-25.82,74.4
SaucerSwap V1,['Hedera'],Dexs,986101,8669607.0,25956980.0,0.0,-54.48,-24.71
mySwap CL,['Starknet'],Dexs,944845,6613915.0,28345350.0,0.0,0.0,0.0
Manifest Trade,['Solana'],Dexs,918766,2445764.0,13412339.0,124.67,319.23,445.05
DeDust,['TON'],Dexs,911146,5976264.0,21753182.0,0.0,-8.16,23.45
SwapBased Concentrated Liquidity,['Base'],Dexs,869611,4200317.0,10434428.0,0.0,44.49,100.64
Yaka V3,['Sei'],Dexs,867158,5391067.0,29628154.0,0.0,-43.43,616.99
Duality,['Neutron'],Dexs,833228,5193580.0,25481343.0,0.0,-25.09,18.77
Verus Market,['Verus'],Dexs,824787,6027274.0,15794183.0,-35.37,-35.51,214.44
HARD Swap,['Kava'],Dexs,798532,4960627.0,13790651.0,-26.54,176.61,2.5
Pear Protocol,['Arbitrum'],Derivatives,788886,1577772.0,13233924.0,0.0,-33.93,
Cleopatra CL,['Mantle'],Dexs,778250,4048532.0,12272867.0,29.98,-29.98,127.83
Splash Protocol,['Cardano'],Dexs,777486,4091766.0,11864140.0,163.16,58.98,28.67
Bancor V2.1,['Ethereum'],Dexs,777239,3129993.0,7722249.0,14.77,63.66,440.8
PulseX StableSwap,['PulseChain'],Dexs,739363,7696993.0,33147175.0,-30.27,-64.2,22.88
Pinto,['Base'],Algo-Stables,732055,7430444.0,20998725.0,-23.8,12.57,48.77
DeltaSwap,"['Arbitrum', 'Base', 'Ethereum']",Dexs,686299,4285332.0,12015132.0,17.23,-18.23,299.82
MagicSea LB,['IOTA EVM'],Dexs,677485,5001884.0,22030341.0,0.0,-63.91,63.05
Interest Curve,['Movement'],Dexs,616563,4537832.0,14082303.0,-24.07,-12.72,235.61
Mimo V2,['IoTeX'],Dexs,577313,4574791.0,8852414.0,-37.42,1.53,569.29
Camelot V2,"['Arbitrum', 'ApeChain', 'Gravity by Galxe', 'Rari', 'Reya Network', 'Gnosis', 'Sanko']",Dexs,561239,3710494.0,11540761.0,35.84,-15.79,166.41
PiperX V3,['Story'],Dexs,559434,4460959.0,17560408.0,-65.39,-8.68,-83.11
ICPSwap,['ICP'],Dexs,547202,4615268.0,14389167.0,-35.04,-28.61,25.06
Biswap V2,['BSC'],Dexs,539258,4376462.0,23154850.0,-16.14,-62.91,155.39
Story Hunt,['Story'],Dexs,531896,3765669.0,12953057.0,-58.29,19.48,-69.5
Balanced Exchange,['Icon'],Dexs,522748,2733798.0,9082647.0,-4.66,-13.23,124.62
KittyPunch PunchSwap,['Flow'],Dexs,521786,4446923.0,12009886.0,-15.72,-26.32,110.18
KongSwap,['ICP'],Dexs,484417,3828213.0,13732697.0,-20.01,-30.83,87.43
Pact,['Algorand'],Dexs,483044,2306425.0,9476362.0,0.0,-38.38,164.25
