name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
BabyDogeSwap,['BSC'],Dexs,63766,494295.0,1112839.0,-21.98,-32.74,281.76
Allbridge Classic,"['Ethereum', 'BSC', 'Terra Classic', 'Aurora', 'Polygon', 'Heco', 'Celo', 'Avalanche', 'Fantom', 'Fuse', 'Solana', 'Near', 'Harmony', 'Tezos', 'Kaia', 'Waves', 'Stellar', 'Stacks']",Bridge,62460,530435.0,1829830.0,0.0,-39.52,-74.97
Infusion,['Base'],Dexs,61225,347928.0,1137349.0,-1.98,-11.64,180.85
Rubicon,"['OP Mainnet', 'Arbitrum', 'Base', 'Ethereum']",Dexs,59334,347382.0,903355.0,216.96,51.87,817.21
MDEX,"['BSC', 'Heco', 'Bittorrent']",Dexs,58639,331856.0,810662.0,0.0,-11.43,363.95
Ferro,['Cronos'],Dexs,58264,668725.0,3419900.0,-3.71,-64.87,27.06
Elexium,['Alephium'],Dexs,58117,184721.0,650794.0,412.77,-45.41,532.81
Scale,['Base'],Dexs,56152,304903.0,1366553.0,76.16,-43.82,210.95
DeltaTrade,"['Near', 'Solana']",Dexs,56039,343077.0,693509.0,2.67,20.95,2757.67
KittyPunch PunchSwap V3,['Flow'],Dexs,55501,559125.0,1096493.0,-1.0,106.15,170.84
Alpha Arcade,['Algorand'],Prediction Market,55166,309983.0,998025.0,55.39,-2.32,147.3
Kittenswap AMM,['Hyperliquid L1'],Dexs,53477,518687.0,6288782.0,0.0,-12.88,-30.77
WigoSwap,['Fantom'],Dexs,53066,447439.0,1226067.0,56.64,-70.61,239.34
Macaron AMM,['Bitlayer'],Dexs,51126,201782.0,886939.0,53.18,-21.88,83.54
Voltage V4,['Fuse'],Dexs,49587,498372.0,1117120.0,-49.77,-30.69,236.41
Thick,"['Fantom', 'Arbitrum', 'Base', 'Sonic']",Dexs,47122,276589.0,969810.0,15.8,-18.66,3.52
SquadSwap Dynamo,['BSC'],Dexs,45156,559944.0,2213311.0,-31.7,-62.9,-73.8
YokaiSwap,"['Godwoken', 'GodwokenV1']",Dexs,44592,287632.0,449553.0,0.0,623.9,35861.29
AirSwap,"['Ethereum', 'Polygon', 'Avalanche', 'BSC', 'Arbitrum']",DEX Aggregator,43178,191385.0,819387.0,0.0,-11.85,443.05
O.LAB,['Base'],Prediction Market,43044,298994.0,86407967.0,0.0,,-99.23
Kriya AMM,['Sui'],Dexs,42993,257554.0,797543.0,0.0,67.79,-17.2
Dusa Protocol,['Massa'],Dexs,41418,315634.0,1148000.0,-5.83,-33.74,113.9
MiaSwap,['Onus'],Dexs,41030,284992.0,588211.0,2.7,2.19,36.87
Nerve,['BSC'],Dexs,40288,191170.0,907538.0,-17.06,-33.8,45167.42
Noah Swap,['EOS EVM'],Dexs,39868,214778.0,510013.0,0.0,29.67,601.9
10KSwap,['Starknet'],Dexs,39074,235914.0,706115.0,0.0,-35.77,130.99
Secured Finance Lending,"['Ethereum', 'Arbitrum', 'Filecoin']",Lending,36727,305184.0,818002.0,-31.75,28.31,130.39
Ociswap Precision,['Radix'],Dexs,35563,355935.0,1569629.0,-52.39,-61.95,-35.48
Xfai,['Linea'],Dexs,34037,205833.0,579400.0,0.0,-22.09,117.28
Meshswap,['Polygon'],Dexs,31612,241796.0,778834.0,-10.34,-31.9,73.19
Arena SocialFi,['Avalanche'],SoFi,30808,169172.0,747340.0,32.95,2.58,3.73
Cauldron,['Bitcoincash'],Dexs,30758,168035.0,787770.0,0.0,15.18,3.92
Velar Protocol,['Stacks'],Dexs,30617,201034.0,574495.0,22.71,-18.26,482.74
MuesliSwap,"['Milkomeda C1', 'Cardano']",Dexs,30407,194106.0,1349901.0,0.0,49.97,283.49
MarginX DEX,['FunctionX'],Dexs,30322,360709.0,2035062.0,0.0,-49.72,-60.75
ClaimSwap V1,['Kaia'],Dexs,30183,207623.0,808067.0,0.0,-70.93,2.44
FusionX V3,['Mantle'],Dexs,29334,201611.0,934726.0,1.64,-27.78,-14.84
Ramses Legacy,['Arbitrum'],Dexs,28794,208350.0,1348016.0,-43.16,-3.41,-81.82
Asset Chain Swap,['Asset Chain'],Dexs,28479,316749.0,989432.0,,-66.78,38.54
Veax,['Near'],Dexs,27218,170009.0,412136.0,0.0,-20.09,21674.4
DefiChain DEX,['DefiChain'],Dexs,27061,269558.0,1905570.0,-47.48,-13.13,-83.28
Persistence DEX,['Persistence One'],Dexs,26462,375755.0,782399.0,0.0,71.34,96.15
SMARDEX AMM,"['Arbitrum', 'Base', 'BSC', 'Ethereum', 'Polygon']",Dexs,25668,162671.0,591434.0,73.37,47.4,686.64
Javsphere,['Base'],Derivatives,23352,9272115.0,243776225.0,-89.13,-75.58,-99.58
Sonic Market OrderBook,['Sonic'],Dexs,22334,118527.0,291645.0,11.99,2181.31,90.97
SupSwap V3,['Mode'],Dexs,22260,156855.0,607877.0,-1.49,-54.04,163.96
FlowX V2,['Sui'],Dexs,21819,118797.0,460275.0,-2.24,-14.85,66.44
Sanctum Reserve,['Solana'],Yield,21611,16204317.0,25262952.0,0.0,-96.92,-86.39
Gaming DEX,"['DeFiVerse', 'Oasys']",Dexs,21389,174659.0,907802.0,-42.03,-29.24,25.15
DefiPlaza,"['Ethereum', 'Radix']",Dexs,20612,93394.0,374234.0,0.0,28.48,111.41
ArcherSwap,['CORE'],Dexs,19893,250407.0,779489.0,-40.54,-67.52,3.89
Kodiak V2,['Berachain'],Dexs,19666,235387.0,2037559.0,-48.69,-59.38,-75.27
dappOS IntentEX,['opBNB'],Dexs,18676,103823.0,2267626.0,0.0,-5.74,108.41
Emojicoin.fun,['Aptos'],Launchpad,18515,179137.0,830533.0,-31.78,-64.48,-31.41
Dfyn Network,['Polygon'],Dexs,18235,116377.0,350109.0,0.0,-36.14,205.04
OpenBiSea,['DChain'],Dexs,18196,86477.0,160302.0,44.08,4.57,
Kava Swap,['Kava'],Dexs,17937,555719.0,1835812.0,-17.87,-93.34,83.22
Energiswap,['Energi'],Dexs,17427,110887.0,444981.0,0.0,-19.85,74.11
Thruster V2,['Blast'],Dexs,17036,113862.0,565121.0,11.51,-32.73,10.46
Verse,"['Ethereum', 'smartBCH']",Dexs,16635,234578.0,1017046.0,15.92,2.44,-32.28
Polkaswap,['Sora'],Dexs,16020,130270.0,876211.0,0.0,-49.15,-42.26
StarkDeFI,['Starknet'],Dexs,15661,117803.0,318898.0,0.0,-38.04,118.12
Sushi Aptos,['Aptos'],Dexs,15549,190906.0,508168.0,-33.94,-40.95,17.7
Platypus Finance,['Avalanche'],Dexs,15360,88096.0,265250.0,-10.99,74.39,368.86
Kinetix AMM V3,['Kava'],Dexs,14800,269515.0,1332238.0,-36.81,-78.53,-89.05
SailFish Finance,['EDU Chain'],Dexs,14039,101232.0,488816.0,-19.38,43.37,-77.92
DackieSwap V2,"['Base', 'OP Mainnet', 'Arbitrum', 'Blast', 'Mode', 'X Layer', 'Linea']",Dexs,13671,122083.0,313356.0,-45.25,-32.43,131.99
Taraswap,['Taraxa'],Dexs,13442,2949312.0,3221352.0,-59.89,19.13,99.55
SwapBased AMM,['Base'],Dexs,13168,171331.0,415364.0,0.0,-51.75,59.21
Joe V2,"['Avalanche', 'Arbitrum', 'BSC']",Dexs,12366,63920.0,785628.0,0.0,-20.53,-27.67
Swap Country,['Harmony'],Dexs,12351,67758.0,206406.0,0.0,-4.26,284.53
zkSwap StableSwap,['ZKsync Era'],Dexs,12188,129045.0,779030.0,-17.95,-80.02,-68.82
Alita Finance,['BSC'],Dexs,11728,80796.0,224117.0,-1.67,-23.18,185.14
Zebra V2,['Scroll'],Dexs,11203,76912.0,234715.0,-41.42,-44.35,155.89
NEBY DEX,['Oasis Sapphire'],Dexs,11112,85869.0,266829.0,0.0,-55.79,263.02
Merchant Moe DEX,['Mantle'],Dexs,10556,181201.0,594019.0,-26.75,-84.97,99.96
VaporDex V1,"['Avalanche', 'ApeChain']",Dexs,10530,74757.0,302005.0,26.2,-62.97,415.17
Maia V3,['Metis'],Dexs,9675,58764.0,116733.0,-26.05,100.27,606.2
boop.fun,['Solana'],Launchpad,9584,32638.0,289831.0,0.0,1083.21,90.05
PepeTeam DEX,['Waves'],Dexs,9541,39515.0,108870.0,207.48,300.71,34.66
OraiDEX,['Oraichain'],Dexs,9335,120967.0,283283.0,0.0,41.8,308.36
SpicySwap,['Tezos'],Dexs,9279,83540.0,103166.0,0.0,83.23,4215.81
GlowSwap,['BSquared'],Dexs,9161,18737.0,137076.0,45.23,258.83,351.95
Astrolescent,['Radix'],Dexs,9156,49937.0,290200.0,0.0,-53.9,64.88
UniDerp,['Unichain'],Launchpad,9024,65198.0,218537.0,0.0,-7.45,70.78
ICDex,['ICP'],Dexs,8964,62699.0,396967.0,0.0,-46.8,47.58
SpiritSwap AMM,['Fantom'],Dexs,8913,88467.0,209001.0,22.03,-73.14,919.79
Glide Finance,['Elastos'],Dexs,8452,86352.0,179210.0,0.0,-12.92,1799.33
Econia,['Aptos'],Dexs,8330,23172.0,110439.0,0.0,624.98,
KnightSwap Finance,"['BSC', 'Fantom']",Dexs,8283,118006.0,182768.0,-16.72,-27.79,453.31
CaviarNine LSU Pool,['Radix'],Dexs,8021,39289.0,289062.0,0.0,481.65,1297.39
StellaSwap V2,['Moonbeam'],Dexs,7915,69959.0,230059.0,-54.49,6.69,209.78
Canto Dex,['Canto'],Dexs,7729,36793.0,259890.0,0.0,-35.33,-2.1
ZilSwap,['Zilliqa'],Dexs,7209,29248.0,124122.0,7569.15,-13.03,
Lif3 Swap,['Tombchain'],Dexs,7081,19998.0,89071.0,0.0,1648.4,
SwapMode V3,['Mode'],Dexs,6940,40403.0,59603.0,26.04,113.93,272.32
AuroraSwap,['Aurora'],Dexs,6519,44103.0,117726.0,-16.09,-36.05,216.92
WardenSwap,['BSC'],Dexs,6461,53396.0,105473.0,-30.76,-43.24,295.41
Crema Finance,['Solana'],Dexs,6216,29902.0,61512.0,0.0,81.17,325.17
Karura Swap,['Karura'],Dexs,5805,80885.0,531812.0,0.0,-69.36,123.27
BladeSwap AMM,['Blast'],Dexs,5783,28452.0,91780.0,5.8,-3.41,311.6
MintSwap Finance,['Mint'],Dexs,5686,77274.0,239943.0,-6.45,-54.08,58.69
MorFi,['Morph'],Dexs,5593,33060.0,127324.0,0.0,-76.85,67.66
ArthSwap V3,['Astar'],Dexs,5358,60781.0,209542.0,-65.01,-90.66,1002.47
Blasterswap V2,['Blast'],Dexs,5322,31570.0,143207.0,7.0,-20.69,119.28
Koi Finance CL,['ZKsync Era'],Dexs,5277,52145.0,183151.0,-40.35,-3.9,-43.54
ZORA Coins,['Base'],Launchpad,5161,25254.0,87179.0,0.0,-32.65,81.92
KLEX Finance,['Kaia'],Dexs,5122,35898.0,140658.0,-32.01,-52.9,-51.16
Apex DeFi,"['Avalanche', 'Base', 'Ethereum']",Dexs,5072,36796.0,115224.0,-31.32,-18.85,19.93
Ginseng Swap,['Conflux'],Dexs,4969,269710.0,397245.0,-69.55,14.02,-7.78
GooseFX V2,['Solana'],Dexs,4915,863800.0,8135850.0,-23.51,-97.96,-99.18
Oswap AMM,['Obyte'],Dexs,4836,13985.0,54598.0,159.3,25.9,385.54
Dove Swap V3,['Polygon zkEVM'],Dexs,4630,22380.0,71732.0,15.29,-1.41,136.71
E3,"['Fantom', 'Arbitrum', 'Base']",Dexs,4568,153779.0,418004.0,0.0,-89.97,-41.54
MojitoSwap,['KCC'],Dexs,4390,35433.0,107078.0,0.0,-14.66,47.17
WinerySwap,['BSC'],Dexs,4374,32342.0,59849.0,-23.29,-32.15,340.48
Beezie,['Flow'],RWA,4286,30791.0,151159.0,-2.32,11.07,87.0
KIM Exchange V2,['Mode'],Dexs,4265,29819.0,100622.0,-17.54,-39.43,9.39
BulbaSwap V3,['Morph'],Dexs,4224,128534.0,2060719.0,0.0,-83.51,-72.7
GarudaDefi,['Terra Classic'],Dexs,4150,45797.0,170010.0,0.0,-56.68,56.31
Paint Swap,['Sonic'],Dexs,4132,46966.0,157690.0,0.0,-48.38,12.77
Vexchange,['VeChain'],Dexs,3985,29953.0,94831.0,33.19,-43.83,108.09
